Academic Calendar,التقويم الاكاديمي
Ghana,غانا
Gibraltar,جبل طارق
Greece,اليونان
Greenland,الأرض الخضراء
Grenada,غرينادا
Guadeloupe,جوادلوب
Guam,غوام
Guatemala,غواتيمالا
Guernsey,غيرنسي
Guinea,غينيا
Guinea-Bissau,غينيا بيساو
Guyana,غيانا
Haiti,هايتي
Heard Island and McDonald Islands,قلب الجزيرة وجزر ماكدونالز
Holy See (Vatican City State),الكرسي الرسولي (دولة الفاتيكان)
Honduras,هندوراس
Hong Kong,هونج كونج
Hungary,هنغاريا
Iceland,أيسلندا
India,الهند
Indonesia,إندونيسيا
Iran,إيران
Iraq,العراق
Ireland,أيرلندا
Isle of Man,جزيرة آيل أوف مان
Israel,إسرائيل
Italy,إيطاليا
Ivory Coast,ساحل العاج
Jamaica,جامايكا
Japan,اليابان
Jersey,جيرسي
Jordan,الأردن
Kazakhstan,كازاخستان
Kenya,كينيا
Kiribati,كيريباتي
"Korea, Democratic Peoples Republic of",كوريا، الجمهورية الشعبية الديمقراطية
"Korea, Republic of",جمهورية كوريا
Kuwait,الكويت
Kyrgyzstan,قيرغيزستان
Lao Peoples Democratic Republic,جمهورية لاو الديمقراطية الشعبية
Latvia,لاتفيا
Lebanon,لبنان
Lesotho,ليسوتو
Liberia,ليبيريا
Libya,ليبيا
Liechtenstein,ليختنشتاين
Lithuania,ليتوانيا
Luxembourg,لوكسمبورغ
Macao,ماكاو
Macedonia,مقدونيا
Madagascar,مدغشقر
Malawi,ملاوي
Malaysia,ماليزيا
Maldives,جزر المالديف
Mali,مالي
Malta,مالطا
Marshall Islands,جزر مارشال
Martinique,مارتينيك
Mauritania,موريتانيا
Mauritius,موريشيوس
Mayotte,مايوت
Mexico,المكسيك
"Micronesia, Federated States of",ولايات ميكرونيزيا الموحدة
"Moldova, Republic of",جمهورية مولدوفا
Monaco,موناكو
Mongolia,منغوليا
Montenegro,الجبل الأسود
Montserrat,مونتسيرات
Morocco,المغرب
Mozambique,موزمبيق
Myanmar,ميانمار
Namibia,ناميبيا
Nauru,ناورو
Nepal,نيبال
Netherlands,هولندا
New Caledonia,كاليدونيا الجديدة
New Zealand,نيوزيلندا
Nicaragua,نيكاراغوا
Niger,النيجر
Nigeria,نيجيريا
Niue,نيوي
Norfolk Island,جزيرة نورفولك
Northern Mariana Islands,جزر مريانا الشمالية
Norway,النرويج
Oman,سلطنة عمان
Pakistan,باكستان
Palau,بالاو
"Palestinian Territory, Occupied",الأراضي الفلسطينية المحتلة
Panama,بنما
Papua New Guinea,بابوا غينيا الجديدة
Paraguay,باراغواي
Peru,بيرو
Philippines,فيلبيني
Pitcairn,بيتكيرن
Poland,بولندا
Portugal,البرتغال
Puerto Rico,بورتوريكو
Qatar,قطر
Réunion,جمع شمل
Romania,رومانيا
Russian Federation,الاتحاد الروسي
Rwanda,رواندا
Saint Barthélemy,سانت بارتيليمي
"Saint Helena, Ascension and Tristan da Cunha",سانت هيلانة وأسنسيون وتريستان دا كونها
Saint Kitts and Nevis,سانت كيتس ونيفيس
Saint Lucia,القديسة لوسيا
Saint Martin (French part),سانت مارتن (الجزء الفرنسي)
Saint Pierre and Miquelon,سانت بيير وميكلون
Saint Vincent and the Grenadines,سانت فنسنت وجزر غرينادين
Samoa,ساموا
San Marino,سان مارينو
Sao Tome and Principe,ساو تومي وبرينسيبي
Saudi Arabia,المملكة العربية السعودية
Senegal,السنغال
Serbia,صربيا
Seychelles,سيشيل
Sierra Leone,سيرا ليون
Singapore,سنغافورة
Sint Maarten (Dutch part),سينت مارتن (الجزء الهولندي)
Slovakia,سلوفاكيا
Slovenia,سلوفينيا
Solomon Islands,جزر سليمان
Somalia,الصومال
South Africa,جنوب أفريقيا
South Georgia and the South Sandwich Islands,جورجيا الجنوبية وجزر ساندويتش الجنوبية
South Sudan,جنوب السودان
Spain,إسبانيا
Sri Lanka,سيريلانكا
Sudan,السودان
Suriname,سورينام
Svalbard and Jan Mayen,سفالبارد وجان ماين
Swaziland,سوازيلاند
Sweden,السويد
Switzerland,سويسرا
Syria,سوريا
Taiwan,تايوان
Tajikistan,طاجيكستان
Tanzania,تنزانيا
Thailand,تايلاند
Timor-Leste,تيمور ليشتي
Togo,توجو
Tokelau,توكيلاو
Tonga,تونغا
Trinidad and Tobago,ترينداد وتوباغو
Tunisia,تونس
Turkey,تركيا
Turkmenistan,تركمانستان
Turks and Caicos Islands,جزر تركس وكايكوس
Tuvalu,توفالو
Uganda,أوغندا
Ukraine,أوكرانيا
United Arab Emirates,الإمارات العربية المتحدة
United Kingdom,المملكة المتحدة
United States,الولايات المتحدة
United States Minor Outlying Islands,جزر الولايات المتحدة البعيدة الصغرى
Uruguay,أوروغواي
Uzbekistan,أوزبكستان
Vanuatu,فانواتو
"Venezuela, Bolivarian Republic of",جمهورية فنزويلا البوليفارية
Vietnam,فيتنام
"Virgin Islands, British",جزر العذراء البريطانية
"Virgin Islands, U.S.",جزر فيرجن الأمريكية
Wallis and Futuna,واليس وفوتونا
Western Sahara,الصحراء الغربية
Yemen,اليمن
Zambia,زامبيا
Zimbabwe,زيمبابوي
Eligibility and Other Details:,الأهلية وتفاصيل أخرى:
Application will be closed soon,سيفتتح التسجيل قريبا
Application open,التسجيل مفتوح
Application will open,سيفتتح التسجيل
Email or mobile no,البريد الإلكتروني أو رقم الهاتف
Starts on,يبدأ في
Click on this,اضغط على هذا
if you are not redirected within,إذا لم يتم إعادة توجيهك خلال
seconds.,ثواني.
Thank you for spending your valuable time to fill this form,شكرًا لك على قضاء وقتك الثمين في ملء هذا النموذج
Reset the password for your account,أعد تعيين كلمة المرور لحسابك
Profile Picture,الصورة الشخصية
Middle Name (Optional),الاسم الأوسط (اختياري)
Edit Response,تعديل
The program has been submitted successfully,تم التقديم بنجاح للبرنامج
Number of Hours,عدد الساعات
Course Language,اللغة
Corse Code,رمز المقرر
Total Hours,إجمالي الساعات
Update your info,قم بتحديث معلوماتك
Request Reason,سبب الطلب
New Drop Course Request,طلب إسقاط مادة جديد
"You haven't selected enough hours",لم تقم بتحديد ساعات كافية
Submission Failed,فشل التقديم
You have exceeded the maximum number of hours,لقد تجاوزت الحد الأقصى لعدد الساعات
Please select course group,الرجاء اختيار المجموعة
Courses registered successfully.,تم تسجيل المقررات بنجاح
Please pay courses fees {0}here{1}.,الرجاء دفع رسوم المواد {0}هنا{1}.
Enrolled,منجز
Prerequisites Not Met,المتطلبات لم تحقق
There is a conflict between the selected groups,هناك تعارض بين المجموعات المختارة
apply_now,التسجيل الآن
Select Group,اختر مجموعة
Announcements,الإعلانات
This course is compulsory,هذا المقرر إجباري
